minute,mid,bid,ask,signal,quoted_bid,quoted_ask,inventory,cash,execution,pnl
122,87.830196135998,87.80519613599799,87.855196135998,0.9484848297704889,87.8241658325934,87.8741658325934,-10,914.0800015508048,,35.77804019082487
123,88.68134307620285,88.65634307620284,88.70634307620286,0.9827757402138569,88.67599859100712,88.72599859100713,-10,914.0800015508048,,27.266570788776335
124,88.71109977280524,88.68609977280524,88.73609977280525,0.9894352379775588,88.70588847756478,88.7558884775648,-10,914.0800015508048,,26.96900382275237
125,89.30812659226504,89.28312659226503,89.33312659226505,0.9895029499056985,89.30291665126315,89.35291665126316,-11,1003.432918202068,sell,21.04352568715251
126,88.20015919286257,88.17515919286257,88.22515919286258,0.8783758774417846,88.1927267104114,88.24272671041142,-12,1091.6756449124794,sell,33.273734598128385
127,87.59403496523677,87.56903496523677,87.61903496523678,-0.3528437572666422,87.56197809009143,87.61197809009144,-12,1091.6756449124794,,40.547225329638195
128,87.23585551146317,87.21085551146317,87.26085551146318,-0.9393147351706416,87.19206921675975,87.24206921675976,-11,1004.4835756957197,buy,44.88916506962471
129,87.26611315721169,87.24111315721169,87.2911131572117,-0.931089125620028,87.22249137469929,87.2724913746993,-11,1004.4835756957197,,44.5563309663911
130,88.11175230204003,88.08675230204003,88.13675230204004,-0.9894925553881228,88.06696245093227,88.11696245093228,-11,1004.4835756957197,,35.25430037327931
131,87.88915597672003,87.86415597672003,87.91415597672004,-0.670327988972128,87.85074941694059,87.9007494169406,-11,1004.4835756957197,,37.70285995179927
132,88.16776485725747,88.14276485725746,88.19276485725747,0.8526071975677504,88.15981700120882,88.20981700120883,-11,1004.4835756957197,,34.63816226588756
133,88.8917208954848,88.86672089548479,88.9167208954848,0.9931171570620514,88.88658323862603,88.93658323862604,-11,1004.4835756957197,,26.674645845386863
134,88.49342664166277,88.46842664166276,88.51842664166277,0.9963063740461059,88.48835276914369,88.5383527691437,-11,1004.4835756957197,,31.05588263742925
135,88.70187255939712,88.67687255939711,88.72687255939712,0.8978888089697824,88.69483033557651,88.74483033557652,-11,1004.4835756957197,,28.762977542351337
136,90.0944258036276,90.0694258036276,90.1194258036276,0.9950446846806924,90.08932669732121,90.13932669732122,-11,1004.4835756957197,,13.444891855816081
137,90.58317164565155,90.55817164565154,90.60817164565155,0.9891384255736703,90.57795441416302,90.62795441416303,-11,1004.4835756957197,,8.068687593552681
